##Refuelling
"Одометр (км)","Дата","Топливо","Цена / л","Общая стоимость","Объем","Полный бак","Второе топливо","Цена / л","Общая стоимость","Объем","Полный бак" 2,"Третье топливо","Цена / л","Общая стоимость","Объем","Полный бак" 3,"Эффективный расход топлива","Расстояние","Тип зарядки","Начальный заряд (%)","Конечный заряд (%)","Длительность (мин)","Азс","Водитель","Тип расхода","Метод оплаты","Примечание","Скидка"
"491791.0","2025-08-24 17:37:33","Бензин АИ92","225","8442","37.52","Да","","0","0","0","Нет","","0","0","0","Нет","0 л/100км","","","","","","Газпром","driver-ea23167db8ec","","","","0"
"491206.0","2025-08-02 06:55:11","Бензин АИ92","220","6630","30.136","Да","","0","0","0","Нет","","0","0","0","Нет","6,414 л/100км","585.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"490836.0","2025-07-13 11:35:23","Бензин АИ92","217","8702","40.101","Да","","0","0","0","Нет","","0","0","0","Нет","8,145 л/100км","370.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"490251.0","2025-06-29 19:32:55","Бензин АИ92","215","9186","42.726","Да","","0","0","0","Нет","","0","0","0","Нет","6,855 л/100км","585.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"489590.0","2025-06-14 09:24:44","Бензин АИ92","210","7000","33.333","Да","","0","0","0","Нет","","0","0","0","Нет","6,464 л/100км","661.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"489056.0","2025-06-06 14:53:41","Бензин АИ92","210","4205","20.024","Да","","0","0","0","Нет","","0","0","0","Нет","6,242 л/100км","534.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"488673.0","2025-05-29 18:48:34","Бензин АИ92","210","8769","41.757","Да","","0","0","0","Нет","","0","0","0","Нет","5,228 л/100км","383.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"488113.0","2025-05-17 10:14:51","Бензин АИ92","209","8200","39.234","Да","","0","0","0","Нет","","0","0","0","Нет","7,457 л/100км","560.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"487398.0","2025-05-09 14:21:28","Бензин АИ92","208","2424","11.654","Да","","0","0","0","Нет","","0","0","0","Нет","5,487 л/100км","715.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
"487211.0","2025-05-09 06:16:26","Бензин АИ92","208","7408","35.615","Да","","0","0","0","Нет","","0","0","0","Нет","6,232 л/100км","187.0","","","","","Газпром","driver-ea23167db8ec","","","","0"
