My Fuel Manager - COSTS
Date;Total price;Currency;Finance category;Odometer;Note;Vehicle name
4/27/2026;133;USD;"Replacement parts";106722;"Замена колес зима -> лето";"Volvo"
10/9/2025;693;USD;"WORK";98660;"Changed transmission oil. Next time after 60-80k";"Volvo"
10/3/2025;126;USD;"WORK";98464;"Changed tires summer->winter";"Volvo"
9/26/2025;554;USD;"WORK";98185;"Changed Oil, filters";"Volvo"
4/25/2025;138;USD;"WORK";91816;"Changed tires Winter->Summer";"Volvo"
3/27/2025;13.5;USD;"Replacement parts";90691;"AdBlue 5 литров (еще 4 нужно)";"Volvo"
10/11/2024;124;USD;"WORK";85700;"Changed tires Summer->Winter";"Volvo"
4/17/2024;168;USD;"WORK";79379;"Changed tires. Winter->Summer. Requested move them to another service (30,euro). Let it until 30.11.2024";"Volvo"
8/15/2023;700;USD;"WORK";426087;"Корректировка фар";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/15/2023;1;USD;"WORK";426087;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/15/2023;800;USD;"WORK";426087;"Замена масла, фильтра. Liqui moly, фильтр - mann. Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2023;13.25;USD;"WORK";422178;"Замена датчика воздуха. Евро";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2023;62.5;USD;"Replacement parts";422178;"Датчик воздуха. Взял бу. 03g 906 4611";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2023;20.83;USD;"Diagnostic";422178;"Диагностика проблемы. Автомобиль чихать начал";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2023;116.67;USD;"WORK";422178;"Замена 3 форсунок. Таллинн. Евро";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/26/2022;4800;USD;"WORK";416758;"Замена форсунки в 4м цилиндре. Сказали буянить клапан EGR";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/11/2022;1500;USD;"Diagnostic";416447;"Форсунка в 4м цилиндре под замену";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/26/2022;1000;USD;"WORK";416013;"Замена фильтра салона и воздушного";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/1/2022;2000;USD;"WORK";415294;"Замена масла и фильтра. Tallinn, maealuse autobox. 35 euro";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/4/2022;28000;USD;"Replacement parts";412600;"Запчасти к подвестке (смотри фотографию), 350 евро, forss";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/4/2022;52000;USD;"WORK";412600;"Замена рычагов передней подвески, стабилизаторов. 650 евро, forss";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/22/2022;2500;USD;"WORK";411760;"Замена датчика АБС, передний левый. Форсс, Таллин, 20 евро";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/22/2022;2700;USD;"Replacement parts";411760;"Датчик ABS BOSCH. 24 евро";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/22/2022;6600;USD;"Diagnostic";411760;"Диагностика датчика АБС. Итог - замена переднего левого";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/7/2022;1600;USD;"WORK";409762;"Замена лампы переднего ближнего света, правый. Forss. Tallinn";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/28/2021;51000;USD;"WORK";409513;"Восстановление гнезда переднего левого привода. Форсс, Таллин";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/16/2021;7000;USD;"WORK";409481;"Замена 4х свечей накаливания. Таллин, forss";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/16/2021;3200;USD;"WORK";409481;"Замена вентилятора салонного. Tallinn, forss";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/14/2021;6400;USD;"Diagnostic";409476;"Диагностика сцепления. Пропадает периодически, не проскальзывает. Рекомендация - поменять корзину, диск и маховик. Ауди Центр Таллин. 2428 евро /";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/23/2021;960;USD;"Diagnostic";406142;"Замена сервоприаода температурной заслонки. Мотор отопителч. Свеча накаливания 4го цилиндра. Замок лючка бензобака";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/23/2021;360;USD;"WORK";406142;"Замена топливного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/23/2021;600;USD;"WORK";406142;"Замена масла, фильтра. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/16/2021;1786;USD;"Replacement parts";0;"Фильтр топливный vag 8t0127401a";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/16/2021;5613;USD;"Oil";0;"Масло liquid moly 7661";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/16/2021;772;USD;"Replacement parts";0;"Фильтр масляный. vag 071115562c";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/2/2021;2000;USD;"WORK";398768;"Замена колес лето->зима. Римэкс, учителей";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/18/2021;600;USD;"WORK";396373;"Чистка радиатора и интеркуллера. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/18/2021;3600;USD;"WORK";396374;"Замена вентилятора радиатора . Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2021;1;USD;"WORK";396220;"Установил решетку противотуманки, правую";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2021;1;USD;"WORK";396220;"Установил дополнительный фильтр салона";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2021;1;USD;"WORK";396220;"Заменил фильтр воздушный";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2021;1;USD;"WORK";396220;"Заменил фильтр салона, воздушный";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/8/2021;8384;USD;"Replacement parts";0;"Вентилятор радиатора. Mahle CFF312000s";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/3/2021;1440;USD;"WORK";395866;"Замена задних колодок";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2021;1737;USD;"Replacement parts";395000;"Фильтр салона антибактериальный MANN FP2450";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2021;3406;USD;"Replacement parts";395000;"Решетка воздухозаборника vag 8KD819441A";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2021;6995;USD;"Replacement parts";395000;"Муфта компрессора кондиционера  DOMINANT AW8K002600810";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2021;2908;USD;"Replacement parts";395000;"Колодки тормозные задние Lucas/TRW GDB2107";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/21/2021;840;USD;"WORK";394800;"Замена передних тормозных колодок. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/21/2021;600;USD;"Oil";394800;"Замена масла-фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/12/2021;5727;USD;"Oil";394549;"Масло liqui molly 7661";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
