My Fuel Manager - Fuel
Date;Fillup volume;Odometer;Total price;Currency;Fuel;Tank status after fillup;%;Note;Vehicle name
8/24/2026;67;121727;125.22;USD;2;F;100;"";"Volvo"
8/21/2026;66.18;120559;116;USD;2;F;100;"";"Volvo"
8/17/2026;64;119486;110;USD;2;F;100;"";"Volvo"
8/13/2026;60;118579;110;USD;2;F;100;"";"Volvo"
8/9/2026;58.01;117678;121.18;USD;2;F;100;"";"Volvo"
7/18/2026;67;115903;113.5;USD;2;F;100;"";"Volvo"
6/26/2026;64;115065;101.38;USD;2;F;100;"";"Volvo"
6/14/2026;66;114052;100;USD;2;F;100;"";"Volvo"
6/13/2026;62;112982;115;USD;2;F;100;"";"Volvo"
6/10/2026;54.26;112067;91.7;USD;2;F;100;"";"Volvo"
6/3/2026;33.01;111436;59.42;USD;2;F;100;"";"Volvo"
6/3/2026;35;11436;61;USD;2;F;0;"";"Volvo"
6/3/2026;63;110843;105.21;USD;2;F;100;"";"Volvo"
6/2/2026;59.63;109672;90;USD;2;F;100;"";"Volvo"
5/29/2026;40;108727;66.96;USD;2;F;100;"";"Volvo"
5/19/2026;63;108209;113.02;USD;2;F;100;"";"Volvo"
5/3/2026;59.78;107292;112.63;USD;2;F;100;"";"Volvo"
4/20/2026;67;106470;121.87;USD;2;F;100;"";"Volvo"
4/3/2026;63;105549;130.35;USD;2;F;100;"";"Volvo"
3/19/2026;63;104654;112.71;USD;2;F;100;"";"Volvo"
2/23/2026;60.01;103977;85.75;USD;2;F;100;"";"Volvo"
2/14/2026;65;103250;86.38;USD;2;F;100;"";"Volvo"
2/5/2026;60;102452;79.14;USD;2;F;100;"";"Volvo"
1/18/2026;68;101928;87.38;USD;2;F;100;"";"Volvo"
1/3/2026;64;101337;88.26;USD;2;F;100;"";"Volvo"
12/17/2025;64;100750;77.39;USD;2;F;100;"";"Volvo"
11/24/2025;66;100007;104.21;USD;2;F;100;"";"Volvo"
10/29/2025;55;99172;70.34;USD;2;F;100;"";"Volvo"
10/5/2025;58.62;98514;72.04;USD;2;F;100;"";"Volvo"
9/16/2025;67;97822;87.7;USD;2;F;100;"";"Volvo"
8/27/2025;64.24;96951;95.01;USD;2;F;100;"";"Volvo"
8/3/2025;68.5;96060;98.91;USD;2;F;100;"";"Volvo"
