filename,category,total,currency,date
parking-ru.txt,parking,250.00,,
parking-en.txt,parking,12.00,EUR,
wash-ru.txt,other:wash,800.00,,
toll-ru.txt,toll,1200.00,,
fine-ru.txt,fine,500.00,,
insurance-ru.txt,insurance,12000.00,,
tax-ru.txt,tax,3500.00,,
parts-ru.txt,parts,1240.00,,
accessory-ru.txt,accessory,2100.00,,
ambiguous-fuel-ru.txt,none,4334.00,,
parking-tallinn-airport-et.txt,parking,2.00,EUR,2026-09-10
parking-tallinn-airport-et-2.txt,parking,4.00,EUR,2026-09-13
parking-snabb-tallinn-et.txt,parking,4.39,EUR,2026-09-14
