filename,liters,unitPrice,total,fuelKind,currency
pump-001.heic,67.00,1.869,125.22,,EUR
pump-002-lukoil-spb-ru.png,43.61,99.40,4334.83,,RUB
pump-003-kz-95-kzt.jpg,85.25,245.0,20886.25,,KZT
pump-004-kz-95-kzt-tokheim.jpg,12.38,243.0,3008.00,,KZT
pump-005-dresser-wayne-four-prices-ru.png,87.92,52.56,4621.08,,RUB
pump-006-kz-adast-92-kzt.png,45.00,244.0,10980.00,,KZT
pump-007-lukoil-spb-comma-decimals-ru.png,60.25,76.24,4593.46,,RUB
pump-008-topaz-video-overlay-92-ru.png,20.00,54.90,1098.00,,RUB
pump-009-gilbarco-zero-padded-ru.png,40.00,50.95,2038.00,,RUB
pump-010-scheidt-preset-amount-ru.png,13.17,75.95,1000.00,,RUB
pump-011-gilbarco-circlek-ee-zero-padded.heic,11.01,1.789,19.70,,EUR
pump-012-gilbarco-circlek-ee-glare-total.heic,5.63,1.789,,,EUR
pump-013-dresser-wayne-ee-four-prices.heic,7.34,,13.06,,EUR
pump-014-dresser-wayne-ee-glare-partial.heic,3.92,,,,EUR
pump-015-dresser-wayne-ee-diesel.heic,15.89,1.889,30.02,,EUR
pump-016-wayne-ee-idle-zero.heic,0.00,,0.00,,EUR
pump-017-wayne-ee-idle-zero-angled.heic,0.00,,0.00,,EUR
pump-018-gilbarco-tatneft-tver-98-ru.jpeg,25.00,99.99,2499.80,,RUB
pump-019-gilbarco-circlek-sikupilli-pump8-ee.jpg,45.22,1.754,79.32,,EUR
pump-020-gilbarco-circlek-sikupilli-pump7-ee.jpg,10.76,1.859,20.00,,EUR
pump-021-wayne-circlek-sun-glare-ee.jpg,8.09,,15.00,,EUR
pump-022-wayne-circlek-pump1-glare-ee.jpg,30.01,,52.49,,EUR
pump-023-wayne-circlek-glare-ee.jpg,29.65,,51.71,,EUR
pump-024-wayne-neste-ee-three-grade-prices.jpg,9.79,1.789,17.51,petrol95,EUR
pump-025-wayne-neste-ee-glare-obscured-total.jpg,22.91,1.789,40.99,petrol95,EUR
pump-026-gilbarco-circlek-ee-comma-decimal.jpg,53.81,1.924,103.53,,EUR
pump-027-gilbarco-circlek-ee-comma-glare.jpg,46.86,1.859,87.11,,EUR
pump-028-gilbarco-circlek-ee-comma-decimal-b.jpg,25.51,1.924,49.08,,EUR
pump-029-dresser-wayne-gpn-okulovka-ru-glare-total.jpg,57.00,71.18,4057.26,petrol95,RUB
pump-030-tokheim-zolotaya-seredina-tver-ru-comma.jpg,54.00,68.44,3695.76,petrol95,RUB
pump-031-gilbarco-circlek-ee-discount-mismatch.jpg,16.80,1.939,32.50,,EUR
pump-032-gilbarco-circlek-ee-clean.jpg,11.38,1.759,20.02,,EUR
pump-033-dresser-wayne-circlek-ee-fourprice-95.jpg,42.87,1.759,75.41,petrol95,EUR
pump-034-dresser-wayne-circlek-tallinn-ee-db0-pair.jpg,87.29,,160.53,diesel,EUR
pump-035-dresser-wayne-circlek-ee-rain-pump8.jpg,44.96,,82.01,,EUR
pump-036-dresser-wayne-circlek-ee-pump4-95.jpg,12.73,1.759,22.39,petrol95,EUR
pump-037-dresser-wayne-circlek-ee-pump3-diesel.jpg,11.05,1.834,20.27,diesel,EUR
pump-038-dresser-wayne-circlek-ee-reflection-95.jpg,44.03,1.759,77.45,petrol95,EUR
pump-039-gilbarco-circlek-ee-1839-clean.jpg,11.47,1.839,21.09,,EUR
pump-040-gilbarco-circlek-ee-pump4-wide.jpg,8.07,1.849,14.92,,EUR
pump-041-dresser-wayne-circlek-ee-glare-total.jpg,30.62,1.784,,petrol95,EUR
pump-042-dresser-wayne-circlek-ee-preset-20eur.jpg,11.34,,20.00,,EUR
pump-043-dresser-wayne-circlek-ee-pump8-95.jpg,60.58,1.784,108.07,petrol95,EUR
pump-044-rn-tver-chkalovskaya-95-comma-truncated-price-ru.jpeg,25.00,68.30,1707.50,petrol95,RUB
pump-045-gilbarco-circlek-ee-1799-zeropad.jpg,16.29,1.799,29.31,,EUR
pump-046-gilbarco-circlek-ee-pump7-95-badge.jpg,12.63,1.759,22.22,petrol95,EUR
pump-047-gilbarco-circlek-ee-pump8-outdoor.jpg,33.16,1.759,58.33,,EUR
pump-048-gilbarco-circlek-ee-1889-near-preset.jpg,10.58,1.889,19.99,,EUR
