filename,liters,unitPrice,total,fuelKind,currency,station
receipt-001.heic,67.00,1.869,125.22,diesel,EUR,
receipt-002-krymoil-yalta-100-ru.png,43.820,450.00,19719.00,petrol100,RUB,krym oil
receipt-003-krymoil-sevastopol-diesel-ru.png,20.00,259.00,5180.00,diesel,RUB,krym oil
receipt-004-krymoil-azs166-95-ru.png,20.00,205.00,4100.00,petrol95,RUB,krym oil
receipt-005-krymoil-azs166-95-flat-ru.png,20.00,205.00,4100.00,petrol95,RUB,krym oil
receipt-006-gridyaeva-92-ru.jpeg,40.00,195.00,7800.00,petrol92,RUB,gridyaeva
receipt-007-lukoil-spb-100-ru.png,43.61,99.40,4334.00,petrol100,RUB,lukoil|lukoyl
receipt-008-kemerovo-95-2022-ru.png,48.89,48.80,2385.83,petrol95,RUB,
receipt-009-mkad-mixed-fuel-water-ru.png,47.56,129.00,6135.24,,RUB,
receipt-010-gazpromneft-diesel-bonus-ru.jpeg,63.000,,3058.00,diesel,RUB,gazpromneft
receipt-011-samara-diesel-ru.png,66.810,62.89,4201.68,diesel,RUB,
receipt-012-neftmagistral-lpg-ru.jpeg,52.15,23.99,1251.00,lpg,RUB,neftmagistral
receipt-013-rn-moscow-95-ru.png,50.00,71.25,3562.50,,RUB,
receipt-014-orion-penza-95-ru.jpeg,30.00,100.00,3000.00,petrol95,RUB,orion
receipt-015-kedr-simferopol-95-ru.jpg,20.00,269.00,5380.00,petrol95,RUB,
receipt-016-rn-moscow-fuelcard-nonfiscal-ru.jpeg,30.000,64.40,1932.00,,RUB,rn
receipt-017-tatneft-domodedovo-diesel-2020-ru.jpg,20.00,48.09,961.00,diesel,RUB,tatneft
receipt-018-krymoil-yalta-100-clear-ru.png,43.820,450.00,19719.00,petrol100,RUB,krym oil
receipt-019-web-2018-ru.jpg,,,3621.00,,RUB,
receipt-020-web-2020-ru.jpg,,,2134.40,,RUB,
receipt-021-web-2018-ru.jpg,,,2519.81,,RUB,
receipt-022-teboil-spb-100-2024-ru.jpg,70.50,80.29,5660.45,,RUB,teboil|teboyl
receipt-023-rn-tver-fuelcard-95-ru.png,20.00,68.30,1366.00,petrol95,RUB,rn
receipt-024-krymoil-sevastopol-diesel-newpower-ru.png,13.540,245.00,3317.30,diesel,RUB,
receipt-025-tatneft-mkad-mixed-service-2019-ru.png,38.28,43.38,1660.59,petrol95,RUB,tatneft
receipt-026-kedr-feodosia-95-ru.png,20.00,269.00,5380.00,petrol95,RUB,kedr
receipt-027-lukoil-voronezh-95-ru.png,30.00,70.05,2101.00,petrol95,RUB,lukoil|lukoyl
receipt-028-siboil-yakutsk-95-2023-ru.png,10.00,62.20,622.00,petrol95,RUB,siboil|siboyl
receipt-029-lukoil-dashboard-100-2021-ru.png,43.24,58.51,2529.97,petrol100,RUB,lukoil|lukoyl
receipt-030-yandex-zapravki-agent-95-2023-ru.png,11.000,43.55,479.05,,RUB,yandex|yandeks
receipt-031-gazprom-discount-list-vs-paid-ru.png,30.00,69.98,2099.40,petrol95,RUB,gazprom
receipt-032-rn-stupino-pulsar95-ru.png,20.00,73.15,1463.00,petrol95,RUB,rn
receipt-033-lukoil-astana-92-kzt-vat16-kz.jpeg,24.690,243.00,6000.00,petrol92,KZT,lukoil|lukoyl
receipt-034-lukoil-m11-ekto95-contract-zero-price-ru.jpeg,30.61,,,petrol95,RUB,lukoil|lukoyl
receipt-035-gdrive95-fuelcard-priced-ru.jpeg,39.000,70.44,2747.16,petrol95,RUB,gazpromneft
